INFO mlfcs.reciprocal.scph.solver: SCPH iteration 1: delta_omega=1.728361e-01 THz, frequency_min=-8.288074e-08 THz, frequency_max=8.245647e+00 THz, correction_norm=2.040726e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=2
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 2: delta_omega=3.356107e-02 THz, frequency_min=-4.730159e-08 THz, frequency_max=8.288071e+00 THz, correction_norm=1.586707e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=3
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 3: delta_omega=1.279456e-02 THz, frequency_min=-6.919665e-08 THz, frequency_max=8.303113e+00 THz, correction_norm=1.430975e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=4
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 4: delta_omega=4.343082e-03 THz, frequency_min=4.135503e-08 THz, frequency_max=8.307949e+00 THz, correction_norm=1.379602e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=5
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 5: delta_omega=1.485552e-03 THz, frequency_min=-5.521660e-08 THz, frequency_max=8.309394e+00 THz, correction_norm=1.362933e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=6
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 6: delta_omega=4.950229e-04 THz, frequency_min=4.353716e-08 THz, frequency_max=8.309793e+00 THz, correction_norm=1.357583e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=7
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 7: delta_omega=1.686274e-04 THz, frequency_min=-8.944996e-08 THz, frequency_max=8.309890e+00 THz, correction_norm=1.355883e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=8
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 8: delta_omega=6.009091e-05 THz, frequency_min=3.676477e-08 THz, frequency_max=8.309906e+00 THz, correction_norm=1.355350e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=9
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 9: delta_omega=2.283359e-05 THz, frequency_min=-3.130989e-08 THz, frequency_max=8.309904e+00 THz, correction_norm=1.355187e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=10
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 10: delta_omega=9.299483e-06 THz, frequency_min=-6.022979e-08 THz, frequency_max=8.309900e+00 THz, correction_norm=1.355139e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=11
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 11: delta_omega=4.011659e-06 THz, frequency_min=-4.362165e-08 THz, frequency_max=8.309897e+00 THz, correction_norm=1.355126e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=12
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 12: delta_omega=1.798711e-06 THz, frequency_min=1.594294e-08 THz, frequency_max=8.309896e+00 THz, correction_norm=1.355123e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=13
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 13: delta_omega=8.252450e-07 THz, frequency_min=-5.309242e-08 THz, frequency_max=8.309895e+00 THz, correction_norm=1.355123e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=14
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 14: delta_omega=3.835916e-07 THz, frequency_min=-6.460392e-08 THz, frequency_max=8.309895e+00 THz, correction_norm=1.355123e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=15
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 15: delta_omega=1.806209e-07 THz, frequency_min=2.558823e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355123e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=16
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 16: delta_omega=8.507648e-08 THz, frequency_min=-1.068249e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355123e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=17
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 17: delta_omega=4.119368e-08 THz, frequency_min=3.826563e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355123e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=18
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 18: delta_omega=2.680786e-08 THz, frequency_min=-6.172317e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355123e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=19
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 19: delta_omega=1.092547e-08 THz, frequency_min=-4.746360e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355123e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=20
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 20: delta_omega=1.684371e-08 THz, frequency_min=-9.628322e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=21
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 21: delta_omega=1.164055e-08 THz, frequency_min=-8.545986e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=22
